quiz_type,quiz_id,status,mode,language,questions,sec_per_question,creator_name,creator_id,school,participants,results_users,winner_name,winner_score,winner_time,winner_final_score,create_date,start_date,complete_date,description,livequiz_label,livequiz_subject,livequiz_topic,livequiz_difficulty,livequiz_slot,quiz_status,created_year,created_month
live-hourly,e806aafa-7d51-4eb7-a981-56b875f9fbcf,completed,live,hindi,0,-,Live Quiz System,system,-,0,0,Not Declared,,Not Declared,Not Declared,2026-01-08 09:43:43.596,2026-01-08 10:30:00,2026-01-08 11:29:59,Bank PO - General Awareness (Indian Polity),Bank PO,General Awareness,Indian Polity,easy,16:00-16:59 IST,Completed,2026.0,January
live-hourly,779ed0a6-0116-43bd-a6f2-3ae2d8528c3f,completed,live,english,10,-,Live Quiz System,system,-,0,0,Not Declared,,Not Declared,Not Declared,2026-01-08 09:42:49.288,2026-01-08 10:30:00,2026-01-08 11:29:59,UPSC CSE (Mains) - Optional Subject (Core Concepts),UPSC CSE (Mains),Optional Subject,Core Concepts,easy,16:00-16:59 IST,Completed,2026.0,January
live-hourly,4634bb80-abc8-44e1-8c2f-497a41584a78,completed,live,hindi,0,-,Live Quiz System,system,-,0,0,Not Declared,,Not Declared,Not Declared,2026-01-08 02:45:20.898,2026-01-08 03:30:00,2026-01-08 04:29:59,Railway NTPC - Mathematics (Algebra),Railway NTPC,Mathematics,Algebra,hard,09:00-09:59 IST,Completed,2026.0,January
challenge,quiz_1767541023134_h26axy7jk,waiting,group,hindi,5,60,Nandani,108a9aab-08a0-412b-a5f0-a9be83bdd62f,-,0,0,Not Declared,,Not Declared,Not Declared,2026-01-04 15:37:03.559,,,Class 5  Hindi,Not Live,Not Live,Not Live,Not Live,Not Live,In Progress,2026.0,January
challenge,quiz_1767540979722_291fgvkgl,waiting,solo,hindi,5,60,Nandani,108a9aab-08a0-412b-a5f0-a9be83bdd62f,-,0,0,Not Declared,,Not Declared,Not Declared,2026-01-04 15:36:19.827,,,Class 5  Hindi,Not Live,Not Live,Not Live,Not Live,Not Live,In Progress,2026.0,January
challenge,quiz_1767294177750_m2j2ttv6m,waiting,solo,hindi,5,60,Nandani,108a9aab-08a0-412b-a5f0-a9be83bdd62f,-,0,0,Not Declared,,Not Declared,Not Declared,2026-01-01 19:02:57.672,,,class 5 quiz,Not Live,Not Live,Not Live,Not Live,Not Live,In Progress,2026.0,January
live-hourly,51397405-f0d9-407c-9703-3dfccd4557a7,completed,live,english,10,-,Live Quiz System,system,-,2,2,Guest Learner,20.0,10m 28s,18.26,2026-01-01 01:44:16.391,2026-01-01 02:30:00,2026-01-01 03:29:59,Class 10 - Social Science (Geography - Climate),Class 10,Social Science,Geography - Climate,easy,08:00-08:59 IST,Completed,2026.0,January
live-hourly,ea2103e2-21ea-4bf2-afa9-de4fb604df13,completed,live,hindi,2,-,Live Quiz System,system,-,0,0,Not Declared,,Not Declared,Not Declared,2026-01-01 00:48:12.207,2026-01-01 01:30:00,2026-01-01 02:29:59,RRB Group D - General Awareness (History),RRB Group D,General Awareness,History,hard,07:00-07:59 IST,Completed,2026.0,January
live-hourly,05c798b5-4478-47cc-b34f-7155c46119d5,completed,live,hindi,2,-,Live Quiz System,system,-,0,0,Not Declared,,Not Declared,Not Declared,2026-01-01 00:45:58.923,2026-01-01 01:30:00,2026-01-01 02:29:59,UPSC CSE (Prelims) - Environment (Core Concepts),UPSC CSE (Prelims),Environment,Core Concepts,intermediate,07:00-07:59 IST,Completed,2026.0,January
live-hourly,fbcf3be8-ba04-41f8-9275-12c0e87c41b3,completed,live,hindi,0,-,Live Quiz System,system,-,0,0,Not Declared,,Not Declared,Not Declared,2026-01-01 00:44:36.742,2026-01-01 01:30:00,2026-01-01 02:29:59,SSC Selection Post - Reasoning (Core Concepts),SSC Selection Post,Reasoning,Core Concepts,hard,07:00-07:59 IST,Completed,2026.0,January
